qnum,question,A,B,C,D,E,correct,n_choices
10,Which statement best describes `clustering`?,Clustering represents the way data is grouped together and stored within Snowflake 's micro-partitions,The database administrator must de ne the clustering methodology for each Snowflake table,The clustering key must be included on the COPY command when loading data into Snowflake,Clustering can be disabled within a Snowflake account,,['A'],4
23,In which layer of its architecture does Snowflake store its metadata statistics?,Storage Layer,Compute Layer,Database Layer,Cloud Services Layer,,['D'],4
28,Which type of table corresponds to a single Snowflake session?,Temporary,Transient,Provisional,"Permanent
 .",,['A'],4
32,Select the three types of tables that exist within Snowflake (Choose three.),Temporary,Transient,Provisional,Permanent,,"['A', 'B', 'D']",4
37,Which of the following statements are true of Snowflake data loading? (Choose three.),VARIANT null values are not the same as SQL NULL values,"It is recommended to do frequent, single row DMLs",It is recommended to validate the data before loading into the Snowflake target table,"It is recommended to use staging tables to manage MERGE statements
 ?",,"['A', 'C', 'D']",4
41,Increasing the maximum number of clusters in a Multi-Cluster Warehouse is an example of:,Scaling rhythmically,Scaling max,Scaling out,Scaling up,,['C'],4
45,What is the maximum compressed row size in Snowflake ?,8KB,16MB,50MB,4000GB,,['B'],4
49,Which of the following are common use cases for zero-copy cloning? (Choose three.),Quick provisioning of Dev and Test/QA environments,Data backups,Point in time snapshots,"Performance optimization
?",,"['A', 'B', 'C']",4
54,"Query results are stored in the Result Cache for how long after they are last accessed, assuming no data changes have occurred?",1 Hour,3 Hours,12 hours,24 hours,,['D'],4
58,Which of the following statements is true of zero-copy cloning?,Zero-copy clones increase storage costs as cloning the table requires storing its data twice,All zero-copy clone objects inherit the privileges of their original objects,Zero-copy cloning is licensed as an additional Snowflake feature,"At the instance/instant a clone is created, all micro-partitions in the original table and the clone are fully shared",,['D'],4
62,Which of the following terms best describes Snowflake 's database architecture?,Columnar shared nothing,Shared disk,"Multi-cluster, shared data",Cloud-native shared memory,,['C'],4
66,Which of the following objects is not covered by Time Travel?,Tables,Schemas,Databases,Stages,,['D'],4
71,When can a Virtual Warehouse start running queries?,12am-5am,Only during administrator defined time slots,When its provisioning is complete,"After replication
.
 ?",,['C'],4
85,"When scaling out by adding clusters to a multi-cluster warehouse, you are primarily scaling for improved:",Concurrency,"Performance
 .
 ?",,,,['A'],2
95,What is the minimum Snowflake edition that provides multi-cluster warehouses and up to 90 days of Time Travel?,Standard,Premier,Enterprise,Business Critical Edition,,['C'],4
100,What is the most granular object that the Time Travel retention period can be defined on?,Account,Database,Schema,"Table
 ?
 .
 fi",,['D'],4
138,What is the minimum Snowflake edition that has column -level security enabled?,Standard,Enterprise,Business Critical,"Virtual Private Snowflake
 ?",,['B'],4
146,Which of the following are characteristics of Snowflake virtual warehouses? (Choose two.),Auto-resume applies only to the last warehouse that was started in a multi-cluster warehouse.,The ability to auto-suspend a warehouse is only available in the Enterprise edition or above.,SnowSQL supports both a configuration file and a command line option for specifying a default warehouse.,A user cannot specify a default warehouse when using the ODBC driver.,The default virtual warehouse size can be changed at any time.,"['C', 'E']",5
150,What versions of Snowflake should be used to manage compliance with Personal Identifiable Information (PII) requirements? (Choose two.),Custom Edition,Virtual Private Snowflake,Business Critical Edition,Standard Edition,"Enterprise Edition
 ?
 ?","['B', 'C']",5
158,"What is the SNOWFLAKE FL.ACCOUNT_USAGE view that contains information about which objects were read by queries within the last 365 days
(1 year)?",VIEWS_HISTORY,OBJECT_HISTORY,ACCESS_HISTORY,LOGIN_HISTORY,,['C'],4
166,How does Snowflake Fail-safe protect data in a permanent table?,"Fail-safe makes data available up to 1 day, recoverable by user operations.","Fail-safe makes data available for 7 days, recoverable by user operations.","Fail-safe makes data available for 7 days, recoverable only by Snowflake Support.","Fail-safe makes data available up to 1 day, recoverable only by Snowflake Support.",,['C'],4
167,"A virtual warehouse is created using the following command:
Create warehouse my_WH with
warehouse_size = MEDIUM
min_cluster_count = 1
max_cluster_count = 1
auto_suspend = 60
auto_resume = true;
The image below is a graphical representation of the warehouse utilization across two days.
What action should be taken to address this situation?",Increase the warehouse size from Medium to 2XL.,Increase the value for the parameter MAX_CONCURRENCY_LEVEL.,Configure the warehouse to a multi-cluster warehouse.,"Lower the value of the parameter STATEMENT_QUEUED_TIMEOUT_IN_SECONDS.
 ?",,['C'],4
176,What is the minimum Snowflake edition required to create a materialized view?,Standard Edition,Enterprise Edition,Business Critical Edition,Virtual Private Snowflake Edition,,['B'],4
182,Which methods can be used to delete staged files from a Snowflake stage? (Choose two.),Use the DROP command after the load completes.,Specify the TEMPORARY option when creating the file format.,Specify the PURGE copy option in the COPY INTO command.,Use the REMOVE command after the load completes.,Use the DELETE LOAD HISTORY command after the load completes.,"['C', 'D']",5
183,On which of the following cloud platforms can a Snowflake account be hosted? (Choose three.),Amazon Web Services,Private Virtual Cloud,Oracle Cloud,Microsoft Azure Cloud,"Google Cloud Platform
F. Alibaba Cloud","['A', 'D', 'E']",5
184,What Snowflake role must be granted for a user to create and manage accounts?,ACCOUNTADMIN,ORGADMIN,SECURITYADMIN,SYSADMIN,,['B'],4
185,"Assume there is a table consisting of five micro -partitions with values ranging from A to Z.
Which diagram indicates a well-clustered table?",,,D.,,,['A'],1
186,What feature can be used to reorganize a very large table on one or more columns?,Micro-partitions,Clustering keys,Key partitions,Clustered partitions,,['B'],4
187,What is an advantage of using an explain plan instead of the query profiler to evaluate the performance of a query?,The explain plan output is available graphically.,An explain plan can be used to conduct performance analysis without executing a query.,An explain plan will handle queries with temporary tables and the query profiler will not.,An explain plan's output will display automatic data skew optimization information.,,['B'],4
188,Which data types are supported by Snowflake when using semi-structured data? (Choose two.),VARIANT,VARRAY,STRUCT,ARRAY,QUEUE,"['A', 'D']",5
189,Why does Snowflake recommend file sizes of 100-250 MB compressed when loading data?,Optimizes the virtual warehouse size and multi-cluster setting to economy mode,Allows a user to import the files in a sequential order,Increases the latency staging and accuracy when loading the data,Allows optimization of parallel operations,,['D'],4
190,Which of the following features are available with the Snowflake Enterprise edition? (Choose two.),Database replication and failover,Automated index management,Customer managed keys (Tri-secret secure),Extended time travel,Native support for geospatial data,"['D', 'E']",5
191,What is the default file size when unloading data from Snowflake using the COPY command?,5 MB,8 GB,16 MB,32 MB,,['C'],4
192,"What features that are part of the Continuous Data Protection (CDP) feature set in Snowflake do not require additional con figuration?
(Choose two.)",Row level access policies,Data masking policies,Data encryption,Time Travel,External tokenization,"['C', 'D']",5
193,Which Snowflake layer is always leveraged when accessing a query from the result cache?,Metadata,Data Storage,Compute,Cloud Services,,['D'],4
194,– Old question - Ignore Which connectors are available in the downloads section of the Snowflake web interface (UI)? (Choose two.),SnowSQL,JDBC,ODBC,HIVE,Scala,"['B', 'C']",5
195,"A Snowflake Administrator needs to ensure that sensitive corporate data in Snowflake tables is not visible to end users, but is partially
visible to functional managers.
How can this requirement be met?",Use data encryption.,Use dynamic data masking.,Use secure materialized views.,Revoke all roles for functional managers and end users.,,['B'],4
196,Users are responsible for data storage costs until what occurs?,Data expires from Time Travel,Data expires from Fail-safe,Data is deleted from a table,Data is truncated from a table,,['B'],4
